# requirement|correctness_argument
R001-A1-DeterministicMergeGateSet|A_roadmap_alignment
R001-A2-ReleaseSmokeRollbackReadiness|A_roadmap_alignment
R001-A3-SupplyChainEvidenceBundle|A_roadmap_alignment
R001-A4-WeeklyOpsMetricsCadence|A_roadmap_alignment
R002-F1-ProductionValidatorPrimaryPath|A_roadmap_alignment
R002-F2-AlloyFirstExecutableBaseline|A_roadmap_alignment
R002-F3-FormalDifferentialTriaging|A_roadmap_alignment
R003-G1-ICPUseCasePackaging|A_roadmap_alignment
R003-G2-TimeToFirstValueWorkflow|A_roadmap_alignment
R003-G3-PilotFeedbackOperationalLoop|A_roadmap_alignment
R004-L1-LeanTrackSeparation|A_roadmap_alignment
R004-L2-LeanEmitterDeterminism|A_roadmap_alignment
R004-L3-LeanBuildFeedbackLoop|A_roadmap_alignment
R004-L4-LeanDifferentialContract|A_roadmap_alignment
R005-G1-ReleaseReliabilityContract|A_roadmap_alignment
R005-G2-DogfoodingPlanningLoop|A_roadmap_alignment
R005-G3-EditorFeedbackQuality|A_roadmap_alignment
R006-S1-MetamodelV2AsContract|A_roadmap_alignment
R006-S2-StrictSemanticInvariantSet|A_roadmap_alignment
R006-S3-ImportAwareDiagnosticPrecision|A_roadmap_alignment
R006-S4-FrameFitDecompositionDiscipline|A_roadmap_alignment
R006-S5-WSRObligationArtifactPipeline|A_roadmap_alignment
R006-S6-NonBlockingFormalBackendStage|A_roadmap_alignment
R007-M1-MetamodelContract|A_roadmap_alignment
R007-M2-TraceabilityImpactExports|A_roadmap_alignment
R007-M3-ExecutableObligationCheck|A_roadmap_alignment
R008-M4A-MarkValidationContract|A_roadmap_alignment
R008-M4B-FileBasedPIMGeneration|A_roadmap_alignment
R008-M4C-TraceCoverageContract|A_roadmap_alignment
R008-M5A-ControlledAPIBridgeSpike|A_roadmap_alignment
R009-A1-ExplicitPFViews|A_roadmap_alignment
R009-A2-DecompositionClosureArtifact|A_roadmap_alignment
R009-A3-FrameConcernCoverageGate|A_roadmap_alignment
R009-A4-OneCommandPFQualityGate|A_roadmap_alignment
R009-A5-AgentAssistedModelExecution|A_roadmap_alignment
R010-M6-WRSPMBridgeCoverage|A_roadmap_alignment
R010-M6-SVocabularyDiscipline|A_roadmap_alignment
R010-M6-WRSPMReportModes|A_roadmap_alignment
R010-M7-ObligationSelectionControl|A_roadmap_alignment
R010-M7-ExecutableAdequacyEvidence|A_roadmap_alignment
R010-M7-DifferentialVerdictArtifacts|A_roadmap_alignment
R010-M7-FormalClosureCoverageReport|A_roadmap_alignment_formal
R010-M7-MinFormalClosureFloor|A_roadmap_alignment_formal
R010-M7-RequirementFormalClosureTrace|A_roadmap_alignment_formal
